municipio,pasto_para_mata_recente_ha,pasto_para_mata_total_ha
Valença,432.78555404204945,2316.6054920485794
Rio das Flores,334.97612730331866,1016.5232177201731
Barra do Piraí,250.82008904803033,1239.7052601027722
Paraíba do Sul,197.36854265227035,1065.5708517168082
Vassouras,175.39130461341608,1236.3857797647515
Resende,126.8485015129634,1980.7314893604785
Paty do Alferes,47.61032856957001,373.33787062828446
Pinheiral,43.508653101792525,140.96478371742893
Piraí,42.01962814351508,219.85013000480097
Comendador Levy Gasparian,31.347875326433602,224.93316478039702
