municipio,desmatamento_recente_ha,taxa_desmatamento_recente_ha_ano
Petrópolis,0.04480304560240577,0.014934348534135257
Engenheiro Paulo de Frontin,0.16587937807335573,0.05529312602445191
Porto Real,5.514892996876847,1.8382976656256158
Rio Claro,6.894045631149236,2.298015210383079
Mendes,11.355756462321562,3.7852521541071873
Miguel Pereira,13.687105807749662,4.562368602583221
Três Rios,28.04191727644088,9.347305758813627
Pinheiral,33.057757357201154,11.019252452400385
Piraí,48.126540641019155,16.042180213673053
Volta Redonda,49.75352074065629,16.584506913552097
