municipio,pressao_antropica_2023_pct,pressao_antropica_1985_pct,variacao_pressao_antropica_pp
Paraíba do Sul,76.84693318302136,84.86037691262395,-8.013443729602585
Rio das Flores,74.41444179643338,80.6825297135783,-6.268087917144925
Três Rios,83.49240312858814,88.76206354405055,-5.269660415462411
Comendador Levy Gasparian,76.89567218018951,81.76659585048097,-4.870923670291461
Vassouras,76.02627039665035,80.55425187700529,-4.5279814803549385
Miguel Pereira,66.52912051484543,69.69846735489125,-3.1693468400458187
Mendes,57.69033193476986,60.20185056130364,-2.5115186265337783
Paty do Alferes,81.10380405529041,83.32653958496327,-2.2227355296728604
Pinheiral,72.28343934950077,74.10729253537357,-1.8238531858728066
Itatiaia,39.03460379204786,40.6882364748027,-1.6536326827548393
